,疾病名称,简介,挂号的科室
1299,肺荚膜组织胞浆菌病,肺荚膜组织胞浆菌病是荚膜组织胞浆菌感染引起的真菌病在肺部的表现。肺为原发性感染，多为无症状或自限性呼吸道感染，严重者可引起全身播散，主要累及网状内皮系统。,呼吸内科 传染科
1300,肺球孢子菌病,球孢子菌病(coccidioidomycosis)是由粗球孢子菌引起的肺或其他器官的真菌病。肺是球孢子菌的侵入门户，也是最常受累的器官。临床分为原发性和进行性。原发性为急性、自限性呼吸道感染；进行性表现为慢性、常为致死性全身感染。,呼吸内科 传染科
1301,洋葱假单胞菌肺炎,洋葱假单胞菌肺炎(pseudomonas cepacia pneumonia)是洋葱假单胞(pseudomonas cepacia)引起的肺部感染，主要见于免疫机制严重受损的患者(如血液病、恶性肿瘤)和囊性纤维化病人，大部分病情进行性加重，并且洋葱假单胞菌对大多数抗生素耐药，预后较差。,呼吸内科
1302,小儿卡肺囊虫肺炎,卡氏肺囊虫(PC)目前一般认为是原虫的一种。有关PC的生活史尚未完全了解，但已知属于人畜共同感染症的一种。PC肺炎是宿主存在免疫缺陷的基础上发生的机会感染性疾病。,儿科 呼吸内科
1303,小儿严重急性呼吸综合征,非典型肺炎于2002年11月开始在广东地区流行，此后相继在香港地区和其他国家陆续报告，临床主要表现为肺炎，在家庭和医院有显著的聚集现象，病原体为新的冠状病毒，WHO也将其命名为SARS病毒，极易引起急性呼吸窘迫综合征(ARDS)，因其死亡率高、传染性强，抗生素疗法治疗无效，而受到医学...,儿科 呼吸内科
1304,热带性肺嗜酸性粒细胞浸润症,热带性肺嗜酸性粒细胞增多症(tropical eosinophilic pulmonary infiltration，TEPI)，又称Weingarten综合征。,血液科 呼吸内科
1305,钩端螺旋体肺炎,"钩端螺旋体病是由各种不同型别的致病性钩端螺旋体引起的急性传染病，是接触带菌的野生动物和家畜，钩端螺旋体通过暴露部位的皮肤进入人体而获得感染的人蓄共患病。鼠类和猪是主要传染源。临床表现轻重不一。轻者似感冒，重者有明显的肝、肾、中枢神经系统的损害，肺大出血,甚至死亡。",呼吸内科
1306,肺芽生菌病,肺芽生菌病又称吉尔克斯(Gilchrist)病或北美芽生菌病，是由皮炎芽生菌(Blastomyces Dermatitidis)或称北美芽生菌(blastomycosis North American)感染引起的一种慢性肉芽肿性及化脓性疾病，可侵犯身体的任何部位，主要累及皮肤、肺和骨骼。肺芽生菌也是一种双相型真菌，存在于土壤中。,呼吸内科 传染科
1307,热带型肺嗜酸性粒细胞肺炎,热带肺嗜酸粒细胞肺炎(TPE)，是以发热、不适、厌食、体重减轻、阵发性干咳和哮喘或气喘，周围血嗜酸粒细胞显著升高，几周后自行缓解为特点的综合征。20世纪50～60年代，认为丝虫感染是其病因。TPE最主要分布在印度、非洲和东南亚、斯里兰卡以及南美洲等地区，我国南京等地区也有报道。,呼吸内科
1308,气单胞菌肺炎,气单胞菌属(aeromonas)目前有10个菌种，主要有嗜水气单胞菌(A.hydrophilic)、豚鼠气单胞菌(A.caviae)及温和气单胞菌(A.sobria)等。以往多认为气单胞菌是一种低毒力的条件致病菌。近年来，由它引起的急性胃肠炎、败血症和呼吸道、胆道、泌尿道感染性疾病报道日益增多。,呼吸内科
1309,小儿脱屑性肺炎,脱屑性间质性肺炎(desquamative interstitial pneumonia简称DIP或D.histocytic I.P)小儿较成人少见，可见于任何年龄的婴儿及儿童。文献上最小一例为生后1天发病者，男女均可发病。,儿科 呼吸内科
1310,小儿单侧肺异常透亮综合征,小儿单侧肺异常透亮或过度透亮综合征即Macleods syndrome，又称Swyer-James综合征、Swyer-James-Macleod综合征等。系一种X线征象，而不是一个病名，如单侧肺异常透亮、肺动脉发育不全、单侧无功能肺、特发性单侧透亮肺、单侧透明肺等，虽其名称不同，但均有同样的X线表现，即病侧肺较健...,呼吸内科 内科
1311,荚膜组织胞浆菌病,荚膜组织胞浆菌病(Histoplasmosis capsulati)是由荚膜组织胞浆菌荚膜变种所引起的广布于全世界的肉芽肿性疾病。,皮肤科 传染科
1312,奈瑟卡他球菌肺炎,奈瑟卡他球菌(neisseria catarrhal，简称卡他球菌)，是一种不同于卡他布兰汉菌的革兰阴性双球菌。,呼吸内科
1313,肺动脉瓣关闭不全,肺动脉瓣关闭不全，最常见心血管内科疾病之一，肺动脉瓣关闭不全常伴发于其他心血管疾病，单独的先天性肺动脉瓣关闭不全很少见，由于关闭不全的程度往往较轻，常无症状。通常以治疗导致肺动脉高压的原发性疾病为主，如缓解二尖瓣狭窄的梗阻。,心血管内科
1314,心绞痛,心绞痛(angina pectoris)是冠状动脉供血不足，心肌急剧的、暂时缺血与缺氧所引起的临床综合征。其特点为阵发性的前胸压榨性疼痛感觉，可伴有其他症状，疼痛主要位于胸骨后部，可放射至心前区与左上肢，常发生于劳动或情绪激动时，持续数分钟，休息或用硝酸酯制剂后消失。本病多见于男性...,心血管内科 血管外科
1315,心脏病,心脏病(heart disease)是心脏疾病的总称，包括风湿性心脏病、先天性心脏病、限制型心脏病、慢性肺源性心脏病、高血压性心肌病、甲亢性心脏病、糖尿病心脏病、高原性心脏病、冠心病、心肌病等各种心脏病。,心血管内科 心胸外科
1316,窦性心动过缓,窦性心动过缓(sinus bradycardia)是窦房结自律性降低所致的窦性心律失常，其频率在60次/min以下。,心血管内科
1317,心脏神经官能症,心脏神经官能症是神经官能症的一种特殊类型，以心血管系统功能失常为主要表现，可兼有神经官能症的其他表现。其症状多种多样，时好时坏，常见有心悸、心前区疼痛、胸闷、气短、呼吸困难、头晕、失眠、多梦等。大多发生于青壮年，以20岁~40岁者最多，多见于女性，尤其是更年期妇女。,心血管内科 神经内科
1318,病毒性心肌炎,病毒性心肌炎(viral myocarditis)是一种与病毒感染有关的局限性或弥漫性的急性、亚急性或慢性炎症性心肌疾病，是最常见的感染性心肌炎。轻度心肌炎的临床表现较少，诊断较难，故病理诊断远比临床发病率为高。近年来随着检测技术的提高，发现多种病毒可引起心肌炎，其发病率呈逐年增高趋...,心血管内科
1319,阵发性室上性心动过速,阵发性室上性心动过速(paroxysmal supraventricular tachycardia，PSVT)是指连续出现3次以上的房性早搏(artial premature beats)或房室交界性早搏(premature atrioventricular junctional beats)所组成的异常性心律。多见于无器质性心脏病的年轻人或有风湿性心脏病、冠心病、心肌病及甲...,心血管内科 心胸外科
1320,右束支传导阻滞,右束支传导阻滞(right bundle-branch block，RBBB)简称右束支阻滞。右束支传导阻滞本身不产生明显的血流动力学异常，故临床上常无症状。如出现症状则多为原发疾病的症状。,心血管内科
1321,心肌病,心肌病（DDM）是一组由于心脏下部分腔室(即心室)的结构改变和心肌壁功能受损所导致心脏功能进行性障碍的病变。,心血管内科 心胸外科
1322,慢性心力衰竭,慢性心力衰竭的临床表现与何侧心室或心房受累有密切关系。临床上左心衰竭最常见。左心衰竭的临床特点主要是由于左心房和（或）右心室衰竭引起肺瘀血、肺水肿；而右心衰竭的临床特点是由于右心房和（或）右心室衰竭引起体循环静脉瘀血和水钠潴留。在发生左心衰竭后，右心也常相继发生功能...,心血管内科 心胸外科
1323,心虚,心气虚指由发汗、泻下太过，或劳心过度，心气耗损或年老脏气日衰、病后体虚所致。表现为心悸，气短(活动时加剧)，自汗，胸闷不舒或痛，面色苍白，体倦乏力，舌质淡，舌体胖嫩，苔白，脉虚等。治宜益气养血为主。,中医科
1324,心阳虚,心阳虚，中医术语，即“心阳不振”。是心气虚的重症。除了心气虚的症状外，还有四肢厥冷，大汗出，心悸加重，甚至昏迷不醒，脉微欲绝。多见于心力衰竭或休克等病症。,中医科
1325,三尖瓣关闭不全,由于先天性或后天性因素致三尖瓣病变或三尖瓣环扩张，导致三尖瓣在收缩期不能完全关闭时称三尖瓣关闭不全。该病有功能性和器质性两种，前者多继发于导致右心室扩张的病变，发病率相当高，如原发性肺动脉高压、二尖瓣病变、肺动脉瓣或漏斗部狭窄、右心室心肌梗塞等。后者可为先天性异常如...,心血管内科 心胸外科
1326,阿斯综合征,阿-斯综合征(Adams-Stokes syndrome)即心源性晕厥，是由于心排出量急剧减少，致急性脑缺血所引起的晕厥及(或)抽搐。,心血管内科
1327,早期复极综合征,"早期复极综合征(early repolarization syndrome, ERS)是一种较常见的正常心电图变异。主要表现为以胸痛、胸闷、心悸为主，心电图上ST段抬高，酷似变异型心绞痛、心肌梗死超急性期，急性心包炎等图形易误诊为器质性心脏病。",心血管内科
1328,心律不齐,心律失常(cardiac arrhythmia)是由于窦房结激动异常或激动产生于窦房结以外，激动的传导缓慢、阻滞或经异常通道传导，即心脏活动的起源和(或)传导障碍导致心脏搏动的频率和(或)节律异常。心律失常是心血管疾病中重要的一组疾病。它可单独发病亦可与心血管病伴发。可突然发作而致猝死，亦...,心胸外科
1329,室性期前收缩,室性早搏(或室性期前收缩)，简称室早，是临床上非常常见的心律失常，其发生人群相当广泛，包括正常健康人群和各种心脏病患者。室性早搏的临床症状有很大的变异性，从无症状，轻微心悸不适，到早搏触发恶性室性心律失常致晕厥或黑蒙，且其临床症状与预后并无平行关系。正常健康人群以及各...,心血管内科
1330,房性期前收缩,房性期前收缩即房性过早搏动(atrial premature beats，APB)，又称房性早搏、房早，房性期前收缩，起源于窦房结以外心房的任何部位。正常成人进行24小时心电检测，大约60%有房性期前收缩发生。各种器质性心脏病患者均可发生房性期前收缩，并经常是快速性房性心律失常出现的先兆。,心血管内科
1331,心室间隔缺损,心室间隔缺损是常见的一种先天性心脏畸形。大多数是单一畸形，约占先天性心脏病的20％左右；也可为复合心脏畸形的一个组成部分，如见于法乐四联症、完全性房室通道等。本节所述限于单纯性室间隔缺损。,心胸外科 心血管内科
1332,心脏早搏,期前收缩即过期前收缩动，又称期外收缩。按其起搏点的部位，可分为房性房室交界性(交界性)及室性其中以室性最多，房性次之，交界性较少见。　　室性期前收缩是指由希氏束分支以下起搏点提早产生的心室激动，又称室性异位搏动为小儿最常见的心律失常由折返或自律性增高所致 房性期前收缩...,内科 心血管内科
1333,心火上炎,心火上炎，病证名。指心经虚火上升的病证。症见舌生疮，口腔糜烂，心烦失眠，舌尖红绛等。治宜导赤清心。,中医科
1334,亚急性感染性心内膜炎,亚急性感染性心内膜炎常发生于风湿性心脏瓣膜病，室间隔缺损，动脉导管未闭等心脏病的基础上，原无心脏病者也可发生。病原体主要为细菌，其次为真菌、立克次体、衣原体及病毒。主要表现为低中度发热、进行性贫血、乏力、盗汗、肝脾肿大、杵状指(趾)，可出现血管栓塞现象，青壮年患者较多...,心血管内科 心胸外科
1335,高心病,高原性心脏病(高心病)(High Altitude Heart Disease)以慢性低压低氧引起的肺动脉高压为基本特征，并有右心室肥厚或右心功能不全。它是慢性高原病的另一种类型，可分为小儿和成人高原心脏病。本病易发生在3500m以上高原，多为慢性经过，个别初进高原者特别是儿童可以急性或亚急性发病，国...,心血管内科
1336,窦房传导阻滞,窦房传导阻滞(sinoatrial block，SAB)简称窦房阻滞。系窦房结周围组织病变，使窦房结发出的激动传出到达心房的时间延长或不能传出，导致心房心室停搏。,心血管内科
1337,脚气病性心脏病,脚气性心脏病(beriberi heart disease)为维生素B1(硫胺素)严重且长时间缺乏而引起的一种高排量型心脏病。周围动脉阻力降低、心排血量增加为其特征性改变。,心血管内科 心胸外科
1338,大肠脂肪瘤,脂肪瘤(Lipoma)在大肠良性肿瘤中仅次于息肉与腺瘤而居于第2位，但实际上脂肪瘤发病少见。,胃肠外科 肿瘤科
1339,结肠粪性穿孔,"结肠粪性穿孔（stercoral perforation,SP）是一种少见的致死性急腹症，1972年Bauer报告4例，并复习文献共25例，以后文献上陆续有病例报道。1990年Serpell统计1984～1990年世界文献共64例，1995年报告3例。结肠粪性穿孔的发病率不详，但根据尸体解剖发现，发病率大于5％。",消化内科 肛肠外科
1340,Whipple病,1907年首先由Whipple报道。1949年Black-Schaffer用PAS染色发现病人小肠粘膜内巨噬细胞中有PAS阳性物质。1960年Cohen等先后经电镜研究，认为巨噬细胞中的镰状颗粒由细菌组成；病原体为杆状，其宽为0.2mu;m，长为1.5～2.5mu;m，称为Whipple杆菌。病原菌经口侵入，可侵犯全身各器官，在长期...,消化内科 内科
1341,老年人大肠肿瘤,大肠癌是原发于直肠和结肠的消化道恶性肿瘤。大肠癌发病部位依次为直肠、乙状结肠、盲肠、升结肠、降结肠、横结肠。随着年龄的增长发病率有所提高。,胃肠外科 肿瘤科
1342,十二指肠憩室梗阻性黄疸综合征,十二指肠憩室梗阻性黄疸综合征（Lemmel Syndrome）是指患十二指肠憩室并压迫胆总管，影响胆汁和胰液的排泄而发生梗阻性黄疸或胰腺炎病征。1934年Lemmel首先提出本征，并将本征中有明显总胆管和胰管阻塞的病例称为乳头综合征（Pepiller Syndrome）。,消化内科
1343,小肠瘘,当肠道与其他空腔脏器或与体表间存在异常的通道时即为肠瘘。发生於小肠的为小肠瘘。小肠瘘又可根据座位於何段小肠而分为十二指肠瘘，空肠瘘和回肠瘘。当肠瘘与其他空腔脏器如胆道、尿路、生殖道或其他肠段相通时称为内瘘;反之，如与体表相通则外瘘。十二指肠及屈氏韧带下方100cm范围内的...,外科 普外科
1344,小儿迁延与慢性腹泻,迁延性腹泻病程在2周～2个月，多发生在1岁以内;慢性腹泻指病程大于2个月。　　国外把两者合一起统称迁延性腹泻(persistent diarrhea)。,儿科 消化内科
1345,嗜水气单胞菌感染,亲水气单胞菌腹泻(aeromonas hydrophilia diarrhea)是由亲水气单胞菌(aeromonas hydrophila，AH)引起的肠道感染性腹泻。气单胞菌属目前共有10个菌种，常见的有亲水气单胞菌、豚鼠气单胞菌(A.caviae，AC)、淡色气单胞菌(A sobria，AS)和易损气单胞菌(A.trota，AT)。其中致病性较强的是亲...,消化内科 传染科
1346,蛔虫性肠梗阻,蛔虫性肠梗阻是因蛔虫聚结成团引起肠管机械性的堵塞所致，在非肿瘤性堵塞性肠梗阻中占首位，多为单纯性、部分性肠梗阻。,消化内科 胃肠外科
1347,妊娠性急性阑尾炎,妊娠中后期，由于子宫增大，盲肠及阑尾的位置随之向上向后移位，在妊娠3个月时，阑尾根部大约在髂嵴下两横指;5个月时相当骼嵴高度;8个月时上升到骼嵴上两横指;分娩后10天恢复到原位，此位置变移过程中，阑尾也有旋转，故妊娠期急性阑尾炎有特殊表现。,胃肠外科 产科
1348,暴痢,暴痢，也称急性细菌性痢疾(acute bacillary dysentery)，简称菌痢，是由志贺菌属(genus Shigellae 又称痢疾杆菌)引起的一种急性肠道传染性疾病。一年四季均有散在性发病，以夏秋季节常见流行，普遍易感，以小儿为多。,消化内科 中医科
1349,老年人假膜性小肠结肠炎,难辨梭状芽孢杆菌结肠炎是因使用抗生素导致肠道菌群失调，由难辨梭状芽孢杆菌在肠道大量繁殖引起的肠炎。严重者大便排出片状黏膜，曾称假膜性肠炎，本病由于广泛使用抗生素而日益增多，又称抗生素相关性肠炎，是一种常见的医院内感染性疾病。,消化内科 老年科
1350,小肠疝气,小肠疝气是危害人类健康的一种常见病和多发病，除了个别婴儿外，几乎不能自愈。,儿科 外科
1351,交肠,交肠是指大小便易位而出，即大便时有尿流出，或小便时有粪水流出，故名。多见于膀胱、阴道损伤后与直肠形成直肠膀胱濌等疾病。,中医科
1352,肠伤寒穿孔,肠伤寒穿孔(intestinal typhoid with perforation)是伤寒病的一种严重并发症，其发生率为2%～6%。接受手术治疗的患者即使在穿孔后得到及时的手术治疗，但因正处于疾病发展的高峰期，机体十分虚弱、抵抗力低下、一般情况较差，加之手术创伤，术后伤寒病继续存在，致使死亡率仍然较高(20%...,胃肠外科 消化内科
1353,小儿溃疡性结肠炎,溃疡性结肠炎(ulcerative colitisUC)，简称溃结，病因尚未完全阐明。　　主要是侵及结肠黏膜的慢性非特异性炎性疾病，常始自左半结肠，可向结肠近端乃至全结肠以连续方式逐渐进展。临床症状轻重不一，可有缓解与发作相交替患者可仅有结肠症状，也可伴发全身症状。,儿科 胃肠外科
1354,十二指肠损伤,十二指肠损伤是一种严重的腹内伤，约占腹内脏器伤的3～5%。十二指肠与肝、胆、胰及大血管毗邻，因此，十二指肠损伤常合并一个或多个脏器损伤。,消化内科 外科
1355,麦胶性肠病,麦胶性肠病（gluten-induced enteropathy）又称乳糜泻（coeliac disease）、非热带性脂肪泻（nontropic sprue），在北美、北欧、澳大利亚发病率较高，国内很少见。男女之比为1∶1.3～2.0，女性多于男性，任何年龄均可发病，发病高峰年龄主要是儿童与青年，但近年来老年人发生本病的人数...,消化内科 内科
1356,肠道病毒71型感染,肠道病毒71型首先于1969～1970年在美国加州的二次中枢神经系统感染的暴发流行中分离出来，1970年以后向世界各地传播;1972年在澳大利亚引起以脑膜炎为主的流行;1973年在日本引起以手、足、口腔病和(或)无菌性脑膜炎为主的流行，在瑞典引起以无菌性脑膜炎为主的流行，伴有少数手、足、口腔...,消化内科 传染科
1357,直肠脱垂直肠壁内疝,腹腔内脏器陷入子宫直肠陷凹所形成的疝，称直肠脱垂直肠壁内疝(intramural hernia caused by proctoptoma)。临床多表现为排便梗阻和不尽感。多发生于女性，双合诊结合排粪造影有助于诊断。,消化内科 肛肠外科
1358,肠石性肠梗阻,肠石是由不溶水和消化液的钡盐、钙盐等沉淀物、吞入物或正常存在于肠内的物质生成的胆酸结石。由该结石堵塞肠腔狭窄处所引起的梗阻称为肠石性肠梗阻。,消化内科 胃肠外科
1359,肠毒性大肠埃希杆菌感染,肠毒性大肠埃希杆菌感染是由肠毒性大肠埃希菌(Enterotoxigenic Escherichia coli enteritis，ETEC)引起的肠道传染病。ETEC是近来人类霍乱样病人大便中新发现的一组致腹泻性大肠埃希杆菌，是发展中国家婴幼儿及旅游者腹泻的主要病原之一，其发病率仅次于轮状病毒。在孟加拉国，ETEC所致腹...,消化内科 传染科
1360,十二指肠先天性缺如、闭锁和狭窄,十二指肠部位在胚胎发育过程中发生障碍，形成十二指肠部的闭锁或狭窄，发生率约为出生婴儿的1／7，000～10，000，多见于低出生体重儿，闭锁与狭窄的比例约为3∶2。在全部小肠闭锁中占37～49％。合并畸形的发生率较高。,胃肠外科 外科
1361,小肠损伤,小肠在腹腔内占据的位置最大、分布面广、相对表浅、缺少骨骼的保护容易受到损伤。在开放性损伤中小肠损伤率占25%～30%，闭合性损伤中占15%～20%。腹部的任何损伤需要探查时，均要认真、细致、规律地进行小肠损伤的检查。,普外科 外科
1362,类圆线虫病,类圆线虫病(strongyloidiasis)是粪类圆线虫(Strongyloides stercoralis)寄生于人体所致的感染性疾病。病原体主要感染人体，亦可寄生于猫、狗等动物。多无临床症状或为慢性感染，弥漫性(侵及肠道外各脏器)重型病例则常危及生命。,消化内科 传染科
1363,小儿蛔虫性肠梗阻,蛔虫症是我国人体最常见的肠寄生虫病之一，以学龄儿童多见，可引起蛔虫性肠梗阻、胆道蛔虫、蛔虫性腹膜炎等并发症。 　　蛔虫性肠梗阻是因蛔虫聚结成团引起肠管机械性的堵塞所致，在非肿瘤性堵塞性肠梗阻中占首位多为单纯性、部分性肠梗阻。阻塞部位以回肠末端最多见。但可发生于小肠的...,儿科 胃肠外科
1364,十二指肠血管性压迫综合征,十二指肠血管性压迫综合征系指十二指肠第三部（即横段）受肠系膜上动脉压迫所致的肠腔梗阻，故又称肠系膜上动脉压迫综合征、Wilke综合征及十二指肠淤滞症等。,胃肠外科
1365,老年人结肠憩室,结肠憩室是指结肠黏膜经肠壁环行肌层的缺损处疝出而形成的憩室样病变，可发生在肠道的任何部位，最好发的部位是结肠，其次是十二指肠。典型憩室炎症状有腹痛、发热、恶心、呕吐、腹胀、便秘、腹泻。由于乙状结肠是憩室最常见部位，腹痛多在下腹部尤其是左下腹部，也可在下腹中线处或依憩...,老年科 胃肠外科
1366,热带口炎性腹泻,热带口炎性腹泻（tropic sprue）好发于热带居民，在南美、非洲、印度等东南亚各国最为常见，任何年龄均可罹病。近年来已将发生在热带的本病归类于ldquo;感染性吸收不良rdquo;类型，并将本病分为寄生虫性（即贾第虫病）及非寄生虫性（热带口炎性腹泻）两种。,消化内科 内科
1367,直肠内异物,咽下的异物包括导管，鸡骨和鱼刺;胆石或者粪石可停留在肛门直肠交界处;尿路结石，阴道环或手术的海绵或器械可能侵蚀入直肠;某些奇特的或与性表演有关的异物被人为地插入，并无意识地嵌顿了;有些物质嵌入直肠壁，有些异物嵌粘在肛门括约肌上面等这些异物进入并相应一些症状称为直肠内异物...,肛肠外科
1368,回盲瓣综合征,回盲瓣综合征（ileocecal valve syndrome）又名回盲括约肌综合征。系指由各种原因所致的回盲瓣非特异性水肿而言。临床表现为反复腹泻、右下腹疼痛及体重减轻。青壮年男性及肥胖女性多见。如回盲瓣与突出的回肠粘膜一起脱入盲肠，可称回盲瓣脱垂综合征（ileocecal valve prolapse syndrom...,消化内科 胃肠外科
1369,肠道血管畸形,肠道血管畸形(vascular malformation of intestine)包括动静脉畸形、血管扩张、血管瘤、血管发育不良等，是引起急性或慢性下消化道出血的原因之一，常是血管本身异常，也可是某一系统性病症或某一综合征的表现之一。,血管外科
1370,结肠平滑肌瘤,结肠平滑肌瘤(leiomyoma of colon)非常少见，国外1966年以前报道有37例，国内至1983年报道2例，以后间断有个案报道。,胃肠外科 肿瘤科
1371,小儿肠吸收不良综合征,肠吸收不良综合征(malabsorption syndrome)指小肠消化及(或)吸收功能减退，使肠腔内一种或多种营养成分不能被顺利转运至体内，而从粪便中排出，使患儿发生营养缺乏。　　常为多种营养成分均有不同程度吸收障碍。某种营养成分吸收不良常各有其特异的临床表现。,儿科 消化内科
1372,结直肠血管瘤,结直肠血管瘤是一种少见的先天性非遗传性疾病。截至1984年，文献报道仅200多例。由于其非进行性生长的特点，一般认为结直肠血管瘤不是肿瘤新生物，而属错构瘤，但对此尚有不同意见。,胃肠外科 肿瘤科
1373,耳聋,临床上将听力障碍分为两类：传导性耳聋和神经性(感音性)耳聋。传导性耳聋是指外耳道至中耳的“鼓膜-听骨链”系统损害引起的听力下降;神经性耳聋属于感音器病变，是指内耳中的耳蜗或听神经至听觉中枢有关的神经传导径路损害，导致听力减退或消失，也称为感音性耳聋。前者声波还可由颅骨通...,耳鼻喉科 五官科
1374,耳膜穿孔,鼓膜穿孔是一种由暴力案件，交通事故，或气压改变所致的中耳创伤，祖国医学属“耳门漏管”範畴。鼓膜穿孔在法医临床学鉴定中经常遇到，能够引起鼓膜穿孔的原因很多，主要分为外伤性(直接或者间接外力作用)鼓膜穿孔和炎性鼓膜穿孔，前者如钝性工具(包括掌、拳等)打击、颅底骨折、爆炸、挖...,耳鼻喉科 儿科
1375,肾虚耳鸣,肾虚耳鸣是指肾虚耳聋耳鸣，肾虚性耳鸣。,中医科
1376,前庭神经炎,1909年Ruttin首次提出前庭神经炎一词，亦称流行性眩晕、流行性神经迷路炎、急性迷路炎或前庭麻痹症。该炎症仅限局于前庭系统，耳蜗和中枢系统均属正常，多罹患于20～60岁成人，病前常有上呼吸道感染史。本症可分为急慢性两种。,神经内科
1377,外耳道疖肿,外耳道疖肿是外耳道皮肤急性局限性化脓性病变，又称局限性外耳道炎。发生于外耳道软骨部，是耳科常见病之一。夏季多发。其病因多为挖耳损伤外耳道皮肤或洗澡时及游泳后外耳道积水，使局部表皮软化，易被细菌侵入感染。另外，化脓性中耳炎脓液的浸渍，以及某些全身疾病如糖尿病等也可诱发...,耳鼻喉科 中医科
1378,鼻腔异物,鼻腔异物是鼻腔内外来的物质。鼻腔外来物质可分为下列三种类型：①非生物类 如包糖纸、塑料塑料玩具、钮扣、项链珠、玻璃珠、石块、泥土等。②植物类 如豆类、花生、果核等。③动物类 如昆虫、蛔虫、蛆虫、水蛭等。,耳鼻喉科
1379,大疱性鼓膜炎,大疱性鼓膜炎（myringitis bullosa）又称(出血性大疱性鼓膜炎)(myringitis bullosa hemorrhagic)，是鼓膜及其邻近外耳道的急性炎症，多为单侧性。,耳鼻喉科
1380,耳真菌病,耳真菌病又称真菌性外耳炎，系真菌引起的急性、亚急性或慢性耳廓及外耳道感染。是一种常见病，占耳感染的15%～20%。是真菌感染所致。这类感染又称耳癣，引起耳廓感染的真菌主要是皮肤癣菌如红色毛癣菌、石青样毛癣菌及羊毛状小孢子菌等。临床表现为耳廓癣，外耳道真菌病。耳廓癣用复方雷...,皮肤科 传染科
1381,先天性耳聋,先天性耳聋是指出生后即已存在的耳聋。其可分为遗传性和非遗传性；主要为常染色体隐性遗传，占75% 以上，非遗传性先天性耳聋约占20% ，遗传性耳聋分为非综合征( nonsyndromic )和综合征性 (syndromic) 两大类，分别占80% 和20% 左右。还有一类线粒体病引起的耳聋。非遗传性耳聋可因先天...,耳鼻喉科
1382,爆震性耳聋,亦称爆震性耳聋，系枪炮或炸弹爆炸引起的间断脉冲性噪音损伤，噪音很强而频谱顶峰变化很大，呈跳跃式升降。自动步枪噪音达174dB，加农炮达188dB，大炮发射时瞬间产生强大正压波，压力可达3000kg/cm2，持续5ms，随之而来的为负压波，可持续30ms，统称为压力波。这种强噪音和冲击波最易引...,耳鼻喉科 外伤科
1383,乳突炎,乳突炎是乳突气房粘膜及骨质的急性化脓性炎症，多由急性化脓性中耳炎发展而来。,耳鼻喉科
1384,气压创伤性中耳炎,在大气压骤然改变时，咽鼓管口不能顺利开放以调节鼓室内压力，因而引起鼓室损伤，类似无菌性中耳炎，称为气压损伤。正常情况下，咽鼓管在吞咽、呵欠和擤鼻时进行瞬间开放，使鼓室内气压和外界气压保持平衡。当咽鼓管有病理改变时，如感冒、鼻窦炎、鼻咽肿瘤、鼻息肉、鼻中隔偏曲、腭咽肌...,耳鼻喉科
1385,耳后骨膜下脓肿,脓肿(abscess)是指由于金黄色葡萄球菌侵入组织或血管内使组织坏死、液化，形成脓液积聚的急性化脓性感染。,耳鼻喉科 骨科
1386,耳疖,耳疖(er jie)是指发生于外耳道的疖肿，以耳痛、外耳道局限性红肿、突起如椒目为其特征。古代医籍中尚有“耳疔”、“黑疔”等别称，如《外科证治全书·卷2》中说：“耳疔生耳窍暗藏之处，色黑形如椒目，疼如锥刺，引及腮脑，破流血水”。西医学的“外耳道疖”可参考本病进行辨证施治。,中医科 耳鼻喉科
1387,急性上颌窦炎,通常说的感冒就是上颌窦炎的急性发作，称为急性上颌窦炎。,耳鼻喉科
1388,中耳气压伤,飞行中由于高度的变化或潜水时深度的变化，大气压力也随之产生变化，咽鼓管功能不良，不能及时调节鼓室内压力，致使鼓室内外压力不平衡造成中耳创伤称为中耳气压伤。,耳鼻喉科
1389,鼓膜外伤,鼓膜外伤（injury of tympanic membrane）常因直接或间接的外力作用所致。,耳鼻喉科 外伤科
1390,化脓性耳廓软骨膜炎,耳廓软骨膜炎（auricular perichondritis）可分为浆液性和化脓性两种。病变是在软骨和软骨膜间有血清渗出（浆液性）或脓液形成（化脓性）。,耳鼻喉科
1391,耳疔,耳疔是指发生于外耳道的疖肿，以局限性红肿，突起如椒目为其特征。相当于西医的外耳道疖。,中医科 耳鼻喉科
1392,鼻疔,鼻疔是指发生在鼻尖、鼻翼、鼻前庭部位的疗疮疖肿，即鼻疖肿。,耳鼻喉科 中医科
1393,迷路震荡,迷路震荡是指颅脑闭合伤时无颞骨骨折的迷路损伤，有时可伴有迷路穿破裂。据统计，脑震荡伤员40％有迷路症状。,内科 神经内科
1394,噪声病,噪声病是一种以听觉器官受损为主并伴有听觉外系统反应的全身性疾病。其症状和体征的产生与噪声的强度、频率、接触时间以及个体对噪声的敏感性有关。当各种不同频率、不同强度的声音杂乱无章地混合时，可产生使人心烦意乱，难以安心工作和休息的噪音;在某种特定的情况下，甚至是娓娓动听...,体检保健科 五官科
1395,结核性中耳乳突炎,自1882年发现结核杆菌之后，中耳结核才得以确诊。多继发于肺结核病，发病率19世纪初为13％，近20年来由于有效的抗痨药物的问世，肺结核发病率已明显降低，结核性中耳乳突炎现已很少见到。国内报道最多者为王鹏万1956年41例。,耳鼻喉科 传染科
