,疾病名称,多发人群
1507,心脏神经官能症,大多发生于青壮年，以20岁~40岁者最多，多见于女性，尤其是更年期妇女。
1508,病毒性心肌炎,所有人群
1509,阵发性室上性心动过速,多见于无器质性心脏病的年轻人或有风湿性心脏病、冠心病、心肌病及甲亢病人。
1510,右束支传导阻滞,所有人群，老年人
1511,心肌病,中老年人多见
1512,慢性心力衰竭,老年人多发
1513,心虚,所有人群
1514,心衰,冠心病、高血压、瓣膜病和扩张型心肌病者多见
1515,心阳虚,老年人
1516,三尖瓣关闭不全,风湿性二尖瓣病、先天性心脏病和肺心病者多发生，亦有部分病例为先天性
1517,阿斯综合征,多见于器质性心脏病患者
1518,早期复极综合征,青壮年多见
1519,心律不齐,所有人群
1520,室性期前收缩,中、老年人器质性心脏病患者多发
1521,主动脉瓣狭窄,风湿病患者尤为多发
1522,房性期前收缩,心脏病患者多发
1523,心室间隔缺损,先天性心脏病者多见于婴幼儿
1524,心脏早搏,所有人群
1525,心火上炎,青壮年
1526,亚急性感染性心内膜炎,所有人群
1527,高心病,高原生活群体
1528,窦房传导阻滞,无特殊发病群体
1529,脚气病性心脏病,所有人群
1530,大肠脂肪瘤,中老年女性
1531,结肠粪性穿孔,老年人
1532,Whipple病,所有人群
1533,老年人大肠肿瘤,60岁以上老年人好发
1534,十二指肠憩室梗阻性黄疸综合征,所有人群
1535,小肠瘘,胃肠手术史患者
1536,小儿迁延与慢性腹泻,儿童人群
1537,嗜水气单胞菌感染,所有人群
1538,蛔虫性肠梗阻,儿童多见
1539,妊娠性急性阑尾炎,孕妇
1540,暴痢,所有人群
1541,老年人假膜性小肠结肠炎,老年人，女性略多于男性
1542,小肠疝气,所有人群
1543,交肠,成年人
1544,肠伤寒穿孔,所有人群
1545,小儿溃疡性结肠炎,青春期及学龄期儿童
1546,十二指肠损伤,所有人群
1547,麦胶性肠病,女性儿童与青年
1548,肠道病毒71型感染,婴幼儿
1549,直肠脱垂直肠壁内疝,多发生于女性
1550,肠石性肠梗阻,多发生于30岁以内
1551,肠毒性大肠埃希杆菌感染,所有人群
1552,十二指肠先天性缺如、闭锁和狭窄,小儿
1553,胆石性肠梗阻,女性
1554,小肠损伤,所有人群
1555,类圆线虫病,以青壮年农民感染者为多
1556,小儿蛔虫性肠梗阻,学龄儿童
1557,十二指肠血管性压迫综合征,所有人群
1558,老年人结肠憩室,老年人群
1559,热带口炎性腹泻,热带居民，在南美、非洲、印度等东南亚各国居民 ，任何年龄均可罹病
1560,直肠内异物,所有人群
1561,回盲瓣综合征,青壮年男性及肥胖女性
1562,肠道血管畸形,所有人群
1563,结肠平滑肌瘤,所有人群
1564,小儿肠吸收不良综合征,婴幼儿
1565,结直肠血管瘤,10～20岁男性青少年
1566,耳聋,所有人群，中老年人为多
1567,耳膜穿孔,所有人群
1568,肾虚耳鸣,成年男性
1569,前庭神经炎,多罹患于20～60岁成人
1570,外耳道疖肿,经常挖耳者多见
1571,中耳癌,好发年龄为40～60岁
1572,鼻腔异物,小儿多见
1573,大疱性鼓膜炎,儿童和青年
1574,耳真菌病,外伤感染
1575,先天性耳聋,婴幼儿
1576,爆震性耳聋,所有人群
1577,乳突炎,儿童多见
1578,气压创伤性中耳炎,所有人群
1579,耳后骨膜下脓肿,儿童人群
1580,耳疖,青壮年
1581,急性上颌窦炎,所有人
1582,中耳气压伤,所有人群
1583,鼓膜外伤,所有人群
1584,化脓性耳廓软骨膜炎,所有人群
1585,耳疔,所有人群均可发病、儿童多见
1586,鼻疔,所有人群均可发病
1587,迷路震荡,所有人群
1588,噪声病,长时间停留在强噪声环境
1589,结核性中耳乳突炎,有结核病者为常见
1590,急性化脓性乳突炎,儿童，多见于中耳炎患者
1591,耳石症,
1592,面肌痉挛,40岁以上成年人
1593,慢性阻塞性腮腺炎,大多发生于中年
1594,面游风,多见于青壮年，或在乳儿期发生。
1595,进行性面偏侧萎缩症,20岁前的青少年，女性多见
1596,小儿小颌畸形综合征,儿童
1597,人面疮,所有人群
1598,屏幕脸,经常键盘、鼠标以及屏幕人群
1599,红血丝,敏感肌肤人群
1600,微笑抑郁症,都市白领
1601,口腔溃疡,所有人群
1602,牙周病,所有人群
1603,牙龈炎,所有人群
1604,口蹄疫,长期与有口蹄疫动物接触的人群
1605,牙齿感觉过敏症,发病的高峰年龄在40岁左右。
1606,口腔单纯性疱疹,本病以6岁以下儿童较多见，尤其是6个月至2岁更多
1607,慢性淋巴细胞性甲状腺炎,女性
1608,甲状旁腺功能亢进症,20-50岁女性
1609,先天性喉软骨畸形,新生儿
1610,气管肿瘤,无特殊发病群体
1611,小儿气管、支气管异物,5岁以下儿童
1612,气管梗阻,有过敏史的患者多见
1613,气管前间隙感染,所有人群
1614,乳腺炎,产妇，哺乳妇女
1615,男子乳房发育症,男性，于青春期和老年期之间的男子
1616,乳腺囊性增生病,多见于25-45岁女性
1617,乳腺结核,20～40岁妇女
1618,单纯性乳腺增生症,生育期女性
1619,男性乳腺癌,家族中都有亲人患有类似的疾病着多见。男性乳腺癌在60以上者最为常见，但近亲有乳腺癌病史，年龄不超过40岁。
1620,副乳,乳房先天发育异常者
1621,乳房导管内乳头状瘤,生育期女性
1622,急性化脓性乳腺炎,产后哺乳的妇女，尤以初产妇多见，发病常在产后3～4周。
1623,巨乳症,青春期少女或青年女性
1624,副乳乳腺癌,40-60岁女性人群
1625,老年人乳腺癌,老年女性
1626,乳溢,青年男性或未哺乳女性
1627,慢性乳腺炎,女性人群
1628,乳腺叶状囊肉瘤,成年妇女
1629,乳腺脂肪肉瘤,脂肪丰满乳房较大妇女
1630,男性青春期乳房发育,儿童期、青春期男性
1631,乳房神经纤维瘤,女性
1632,乳房猪囊尾蚴病,大儿童及成人中致病
1633,乳房肥大症,成年女性
1634,男性乳腺增生,男性
1635,乳节腺结节,育龄女性
1636,炎性乳癌,女性
1637,肺炎,所有人群
1638,小儿哮喘,儿童人群
1639,肺热咳嗽,所有人群
1640,一氧化碳中毒,所有人群
1641,小儿支原体肺炎,儿童人群
1642,大叶性肺炎,青壮年
1643,病毒性支气管炎,所有人群
1644,COPD,多于中年时起病
1645,肺部良性肿瘤,所有人群
1646,小儿结核病,原发性结核好发于青少年
1647,肺不张,所有人群
1648,ARDS,所有人群
1649,急性气管－支气管炎,婴幼儿多见
1650,胎儿宫内窘迫,孕妇
1651,小儿慢性支气管炎,婴幼儿
1652,喘息样支气管炎,1至3岁小儿
1653,房性心动过速,无特殊发病群体
1654,心脏肿瘤,所有人群
1655,变异型预激综合征,所有人群
1656,心血瘀阻,所有人群
1657,老年人心脏传导阻滞,所有人群
1658,心动过速性心肌病,所有人群
1659,心尖肥厚型心肌病,30～50岁男性
1660,法洛四联症,多见于儿童
1661,老年人稳定型心绞痛,老年人
1662,先天性动脉导管未闭,女性
1663,围生期心肌病,30岁左右经产妇
1664,小儿室间隔缺损,婴幼儿、多见于儿童或青少年期
1665,老年人不稳定型心绞痛,高血压、中老年人
1666,慢性心包炎,中老年人、抵抗力低下的人
1667,三尖瓣狭窄,多见于女性
1668,升主动脉瘤,青、中年
1669,小儿房间隔缺损,婴幼儿
1670,痛风性心肌病,大多数患者在30～40岁发病
1671,高度房室传导阻滞,所有人群
1672,致心律失常性右室心肌病,中老年人
1673,老年人心脏猝死,老年心脏病患者
1674,起搏器综合征,老年人比较多见
1675,左后分支传导阻滞,所有人群
1676,急性冠脉综合症,常见于老年、男性及绝经后女性、吸烟、高血压、糖尿病、高脂血症、腹型肥胖及有早发冠心病家族史的患者
1677,烧伤后心功能障碍,烧伤后患者
1678,室性逸搏及室性逸搏心律,严重心脏病患者
1679,心房内传导阻滞,老年人
1680,室性并行心律及室性并行心律性心动过速,50～70岁人群
1681,心脏骤停与心肺脑复苏,所有人群
1682,双侧束支传导阻滞,所有人群
1683,小儿窦性心动过速,婴幼儿
1684,限制型心肌病,热带男性人群
1685,心肌梗塞并发二尖瓣关闭不全,中老年人
1686,老年人变异型心绞痛,老年患者多见
1687,心室扑动和心室颤动,所有人群
1688,心肌梗塞并发心室间隔穿破,中老年人
1689,新生儿心律失常,儿科
1690,乳头肌功能不全,所有人群
1691,小儿阵发性室上性心动过速,儿童
1692,房室折返性心动过速,年轻人
1693,心瘅,中老年人
1694,伤寒性心肌炎,青少年及儿童多见
1695,老年人恶性心包积液,老年人
1696,老年人脑心综合征,老年人群
1697,多源性房性心动过速,65岁以上，有基础性疾病的老年人，先天性心脏病、风湿病的儿童
1698,三房心,所有人群
1699,心包肿瘤,婴儿和儿童
1700,后天性三尖瓣关闭不全,所有人群
1701,肠扭转综合征,45岁以上中老年人，男性
1702,弥漫性空回肠溃疡,老年人群
1703,肠梨形鞭毛虫病,儿童
1704,先天性肠旋转不良,新生儿
1705,腺病毒性肠炎,小儿
1706,钩虫性十二指肠炎综合征,所有人群
1707,小肠血管瘤,小肠血管瘤可发生于任何年龄，生后即可出现，女性较男性多见。
1708,十二指肠白点综合征,本病发病男性多于女性，以青壮年多见
1709,小肠平滑肌瘤,所有人群
1710,胎粪性便秘,新生儿
1711,小儿动力性肠梗阻,10个月左右婴幼儿
1712,先天性肠闭锁,男性早产儿
1713,大肠血管瘤,常发生在青年和幼年
1714,血吸虫肠病,所有人群
1715,小儿食物变态反应,婴幼儿
1716,虫证,所有人群
1717,小肠平滑肌肉瘤,中老年人
1718,直肠重复畸形,所有人群
1719,小儿急性出血性坏死性肠炎,婴幼儿
1720,裂头绦虫病,所有人群
1721,弯曲菌性肠炎,所有人群
1722,小儿炎症性肠病,所有人群
1723,小肠扭转,青壮年
1724,幼年息肉,2-10岁
1725,盲肠扭转,40岁以下的年轻人，女性较多
1726,神经性肠梗阻综合症,所有人群
1727,小儿粘连性肠梗阻,儿童
1728,Turcot综合征,年轻人多见
1729,小肠纤维瘤,所有人群
1730,惠普尔病,以30～50 岁发病者为多
1731,结直肠损伤,所有人群
1732,小儿中毒型痢疾,2-7岁儿童
1733,结肠闭锁,新生儿
1734,十二指肠瘘,所有人群
1735,十二指肠平滑肌肉瘤,60-70老年人群尤以男性多见
1736,毛石肠梗阻综合征,多为女性，以青少年为多见
1737,小肠脂肪瘤,中年人群
1738,先天性小肠闭锁和肠狭窄,新生儿
1739,先天性十二指肠闭锁,新生儿患者尤为多见
1740,二糖酶缺乏症,新生儿
1741,长膜壳绦虫病,所有人群
1742,牙隐裂,中老年人
1743,唇病,干燥脱屑型唇炎好发于青春期男女。腺型唇炎多见于下唇，40岁以上较为多见
1744,边缘性龈炎,每个人在其一生中都在不同程度和范围内发生
1745,干呕,无特殊发病群体
1746,声带小结,多见于教师及歌唱演员，以女性较多
1747,牙痈,所有人群
1748,马牙,婴儿
1749,创伤性溃疡,无特殊发病群体
1750,慢性化脓性腮腺炎,所有人群
1751,小儿鹅口疮,免疫力低下的幼儿多见
1752,牙体缺损,所有人群
1753,颌下间隙感染,所有人群
1754,颌面部淋巴管瘤,儿童及青少年
1755,粘液腺囊肿,所有人群
1756,釉质发育不全,所有人群
1757,颌面部骨巨细胞瘤,所有人群
1758,颌面部神经纤维瘤,青年人
1759,腭咽闭合不全,腭裂术后病人
1760,乳头状囊腺癌,发病年龄12～72岁
1761,牙列拥挤,所有人
1762,开合,儿童替牙期
1763,小儿流涎症,儿童
1764,涎腺癌,所有人
1765,口糜,发生于小儿者，以1岁内婴儿或不满月婴儿多见
1766,涎腺混合瘤,30～40岁女性
1767,深覆合,儿童
1768,复发性坏死性黏膜周围炎,儿童，年轻人
1769,口腔粘膜黑棘皮病,非-美年轻的成年女性
1770,颊间隙感染,急性化脓性智齿冠周炎患者
1771,金属引起的口腔黏膜疾病,所有人群
1772,黏膜白色海绵状痣,家族遗传性人群，出生时即可出现，也可以于儿童或青少年时期出现
1773,浆细胞性唇炎,有浆细胞浸润为特征的慢性炎症性疾病患者多见
1774,垂痈,小儿
1775,涎腺的未分化癌,男女无差别、各年纪均可见
1776,小儿疳渴,婴幼儿
1777,牙瘤,所有人群
1778,小儿坏死性龈口炎,儿童人群
1779,龅牙,所有人群
1780,滤泡性咽炎,所有人群
1781,牙龈瘤,
1782,慢性咽炎,成年人
1783,小儿感冒,小儿
1784,喉癌,男性较女性多见，约为8
1785,咽炎,有烟酒嗜好的成年人
1786,疱疹性咽峡炎,所有人群，多见于3～10岁儿童
1787,腺样体肥大,儿童、少年期
1788,小儿流行性感冒,1岁以内的婴儿
1789,白喉,儿童
1790,病毒性咽炎,所有人群
1791,咽鼓管阻塞,所有人群
1792,咽异感症,30～40岁女性
1793,咽部异物,儿童多见
1794,淋菌性咽炎,性活跃人群多见
1795,肺腺癌,发病年龄较小，女性相对多见
1796,特发性肺纤维化,见于各年龄组，而作出诊断常在50～70岁之间
1797,金黄色葡萄球菌肺炎,常发生于有基础疾病如糖尿病、血液病、艾滋病、肝病或原有支气管肺疾病者。儿童患流感或麻疹时也易患此病
1798,衣原体肺炎,多见于学龄儿童
1799,氯气中毒,工人多见，多见于青壮年
1800,小儿喘息样支气管炎,1-3岁小儿
1801,肺转移瘤,肿瘤患者
1802,老年人胸腔积液与胸膜炎,老年人群
1803,肺咳,所有人群
1804,肺部少见的恶性肿瘤,成年人群
1805,Q热肺炎,所有人群
1806,呼吸道合胞病毒肺炎,所有人群
1807,慢性呼吸衰竭,原有肺部疾病患者
1808,乳汁吸入性肺炎,新生儿
1809,氨气中毒,所有人群
1810,腺病毒肺炎,6个月至2岁的婴幼儿
1811,尘肺,粉尘作业人员
1812,燥邪犯肺,所有人群
1813,急性细支气管炎,两岁以下的婴幼儿，以两个月～八个月最多
1814,大量羊水吸入,胎儿在宫内或分娩过程中
1815,小儿流行性喘憋性肺炎,婴幼儿
1816,高原肺水肿,所有人群
1817,产后喘促,产妇
1818,呼吸性细支气管相关的间质性肺疾病,所有人
1819,胎粪吸入综合征,多见于足月儿和过期产儿
1820,肺胀,老年人
1821,军团菌肺炎,中老年或有慢性疾病患者
1822,单侧肺气肿,吸烟者、慢支患者
1823,肺寄生虫病,所有人
1824,肺炎链球菌性肺炎,多见于老年、幼儿、体弱者
1825,肺炎克雷白杆菌肺炎,中老年人
1826,小儿金黄色葡萄球菌肺炎,幼婴及新生儿
1827,肺转移性肿瘤,原有基础病者
1828,老年人支原体肺炎,老年人
1829,慢性嗜酸性粒细胞性肺炎,高峰年龄是30～40岁，妇女几乎是男性的2倍
1830,肺炎衣原体肺炎,学龄儿童
1831,军团病,老年人、吸烟酗酒者以及免疫功能低下者易患此病
1832,特发性阻塞性细支气管炎伴机化性肺炎,通常在40～50岁
1833,哮喘性肺嗜酸粒细胞浸润症,多在40～60岁发病。
1834,支气管源性囊肿,儿童
1835,老年人呼吸衰竭,老年人
1836,老年人终末期肺炎,老年人
1837,巨细胞病毒性肺炎,在免疫功能低下和婴儿中
1838,球形肺炎,所有人群
1839,布氏菌肺炎,所有人群
1840,小肠结肠炎耶尔森菌肺炎,所有人群
1841,表皮葡萄球菌肺炎,所有人群
1842,肺炭疽,所有人群
1843,小儿呼吸道合胞病毒肺炎,多见于婴幼儿，半数以上为1岁以内婴儿，男多于女
1844,查加斯病,中、南美洲的人
1845,左心房心律,所有人群
1846,窦房折返性心动过速,40～60岁老人，男性
1847,三尖瓣闭锁,所有人群
1848,心脏横纹肌瘤,新生儿和婴幼儿
1849,心厥,所有人群
1850,小儿窦性心动过缓,婴幼儿
1851,获得性免疫缺陷综合征的心血管损害,所有人群
1852,老年人病态窦房结综合征,大多数患者在40岁以上出现症状，60～70岁最多见
1853,加速性室性自主心律,洋地黄过量、心肌炎、高血钾、外科手术等导致器质性病变的患者
1854,肾上腺素能依赖性尖端扭转性室性心动过速,发病年龄从出生后数天至50岁TDP的首发病年龄阶段多在婴儿及儿童期。
1855,双向性室性心动过速,所有人群
1856,放射性心脏损害,长期从事放射治疗和放射投照的工作人员
1857,放射性心包炎,所有人群
1858,老年人钙化性瓣膜病,老年人群
1859,妊娠合并风湿性心脏病,孕产妇
1860,肿瘤性心包炎,所有人群
1861,先天性二尖瓣畸形,婴幼儿
1862,冠状动脉异位起源,所有人群
1863,房性逸搏和房性逸搏心律,所有人群
1864,窦性期前收缩,所有人群
1865,小儿房室传导阻滞,儿童人群
1866,小儿先天性主动脉瓣狭窄,儿童
1867,房室交接区性期前收缩,成年人
1868,非阵发性交接区性心动过速,所有人群
1869,老年人心房扑动,所有人群
1870,心包转移瘤,原有肿瘤患者
1871,冠状动脉终止异常,所有人群
1872,左房恶性黏液瘤,所有人群
1873,穿透性心脏外伤,所有人群
1874,老年人心内膜炎,老年人
1875,窦室传导,所有人群
1876,心房内折返性心动过速,所有人群
1877,老年人期前收缩,老年人群
1878,缺血性多形性室性心动过速,所有人群
1879,原发性心脏肿瘤,所有人群
1880,小儿窦性心律失常,婴幼儿人群
1881,联合瓣膜病变,所有人群
1882,间歇依赖型尖端扭转型室性心动过速,所有人群
1883,房室管畸形,所有人群
1884,老年人先天性心血管疾病,老年人
1885,高动力性循环,20～40岁之间，女性多于男性
1886,心脏乳头样弹性纤维瘤,所有人群
1887,持续性交接区折返性心动过速,多见儿童及年轻人
1888,心脏脂肪瘤,本病无性别差异，可发生在0～77岁的任何年龄
1889,勒夫勒心内膜炎,所有人群
1890,转移性小肠肿瘤,有其他癌症的患者多见
1891,妊娠合并肠梗阻,孕妇
1892,盲袢综合征,所有人群均可发病
1893,小袋纤毛虫病,所有人群
1894,小儿假膜性肠炎,所有人群
1895,横结肠扭转,所有人群
1896,原发性十二指肠恶性淋巴瘤,中年人群
1897,短膜壳绦虫病,所有人群
1898,小肠重复畸形,多发生于新生儿及婴幼儿
1899,先天性直肠与周围脏器瘘,青少年
1900,等孢球虫病,所有人群
1901,小儿乳糜泻,儿童
1902,炎症性肠病,所有人
1903,十二指肠内瘘,所有人群
1904,急性结肠假性梗阻综合征,有感染性疾病史人群
1905,盲肠旁疝,婴儿
1906,先天性肠闭锁与狭窄,所有人群
1907,先天性短结肠,婴幼儿
1908,十二指肠先天性狭窄,婴幼儿
1909,小网膜囊疝,所有人群
1910,小儿梅克尔憩室,儿童
1911,小儿回盲肠综合征,3--10岁儿童
1912,小儿糖吸收不良,所有人群
1913,溶组织内阿米巴病,所有人群
1914,致肠细胞病变人孤儿病毒感染,所有人群
1915,小儿淋巴样息肉,儿童
1916,十二指肠重复畸形,婴幼儿
1917,十二指肠外瘘,所有人群
1918,先天性结肠狭窄和闭锁,婴幼儿
1919,先天性肠旋转异常,所有人群
1920,慢性结肠炎,20～30岁
1921,五更泻,
1922,甲型副伤寒,儿童，青少年
1923,乙肝,所有人群，主要见于青少年，绝大多数为10~30岁
1924,脂肪肝,所有人群，肥胖人群，体质超重肥胖者占64%。
1925,肝硬化,20～50岁的男性
1926,原发性肝癌,中老年人群
1927,肝囊肿,中年女性
1928,肥厚性咽炎,多见于成年人
1929,咽喉部肿瘤,40至50岁多见
1930,慢性舌扁桃体炎,成年人
1931,咽鼓管异常开放症,所有人群
1932,喉喑,所有人群
1933,喉阻塞,所有人群
1934,咽部结核,肺结核患者
1935,喉气囊肿,所有人群
1936,咽后脓肿,3岁以下幼儿、青少年
1937,新生儿喉喘鸣,儿童人群
1938,咽部脊索瘤,中年居多，男性多于女性
1939,喉气管瘢痕性狭窄,所有人群
1940,咽部神经鞘膜瘤,20～50岁之间
1941,飞扬喉,所有人群
1942,咽肌麻痹,所有人群
1943,咽部狼疮,所有人群
1944,咽部创伤,直接暴力(战伤、交通事故、工伤、自杀者居多）
1945,咽部灼伤,多见于年幼儿童
1946,咽喉烧伤及化学伤,所有人群
1947,先天性喉闭锁,婴幼儿时期
1948,咽部机械性创伤,所有人群
1949,拉沙热,所有人群
1950,先天性小喉,儿童
1951,子喑,孕妇
1952,疱疹性咽炎,儿童
1953,甲亢,所有人群，大多数年龄在20～40岁，一般女性比男性发病率高
1954,甲状腺癌,中老年人群
1955,甲状腺瘤,多见于中年妇女。
1956,单纯性甲状腺肿,流行于离海较远，海拔较高的山区
1957,甲状腺微小癌,所有人群
1958,甲状腺囊肿,中青年多见
1959,老年人甲状腺癌,老年人群
1960,急性甲状腺炎,中年女性
1961,老年甲状腺功能减退症,老年人群
1962,甲状腺结核,青年及中年病人
1963,妊娠合并甲状腺功能减退,孕妇
1964,小儿甲状腺功能亢进症,大多数患儿在青春期发病，<5岁者少见。
1965,高碘性甲状腺肿,高点地区人群
1966,家族性甲状腺非髓样癌,女性患者较男性多，女∶男约为2∶1，平均年龄约为38岁。
1967,甲状腺功能亢进性骨矿疾病,甲亢病人
1968,慢性纤维性甲状腺炎,所有人群
1969,老年人甲状腺功能亢进症,老年人
1970,自主性高功能性甲状腺腺瘤,40～60岁的中老年患者
1971,胸内甲状腺肿,女性多于男性，以40岁以上居多
1972,老年人甲状腺功能亢进危象,
1973,小儿结节性甲状腺肿,儿童
1974,放射性甲状腺炎,所有人群
1975,急性放射性甲状腺炎,所有人群
1976,小儿散发性甲状腺肿,儿童人群
1977,支气管炎,所有人群，中老年人为多
1978,急性支气管炎,婴幼儿，及体弱者多见
1979,原发气管支气管肿瘤,40岁以上爱抽烟的男性多见
1980,肺闭喘咳,儿童
1981,小儿原发型肺结核,婴幼儿
1982,急性肺脓肿,呼吸道感染者
1983,肺爆震伤,所有人群
1984,小儿腺病毒性肺炎,6个月至2岁的婴幼儿
1985,铜绿色假单胞菌肺炎,有基础疾病、免疫功能低下或重症监护、机械通气患者
1986,肠杆菌肺炎,所有人群
1987,肺螨病,从事粮食及中草药贮存、加工、销售及纺织工人
1988,鼻疽假单胞菌肺炎,所有人群
1989,高分化鳞癌,所有人群
1990,先天性肺发育不全,婴幼儿
1991,不动杆菌肺炎,长期住院或机体抵抗力降低患者
1992,斑疹伤寒立克次体肺炎,所有人群
1993,小儿气胸,小儿，好发于哭闹、咳嗽患儿
1994,肺部钩虫病,长期从事农田作业的农民
1995,特发性含铁血黄素沉着症,本病以儿童多见，主要以1～7岁为见，15%超过15岁，成年人男女之比为2∶1
1996,卡氏肺囊虫病,主要发生于免疫低下的儿童
1997,中叶综合征,所有人群
1998,类脂性肺炎,所有人群
1999,肺淀粉样变性,所有人群
2000,支气管中心性肉芽肿病,所有人群
2001,产碱杆菌肺炎,所有人群
2002,呕吐物吸入,所有人群
2003,小儿支气管肺发育不全,婴幼儿
2004,先天性支气管囊肿,先天患者
2005,肺泡微结石症,多数发生于20～30岁
2006,先天性肺动静脉瘘,所有人群
2007,老年人厌氧菌性肺炎,老年人群
2008,妊娠合并肺炎,孕妇
2009,其他病毒肺炎,所有人群
2010,肺部粪类圆线虫病,所有人群
2011,肺毛霉病,所有人群
2012,肺宫崎肺吸虫症,所有人群
2013,枸橼酸杆菌肺炎,所有人群
2014,坏死性结节病样肉芽肿病,所有人群
2015,沙雷菌肺炎,所有人群
2016,小儿特发性肺纤维化,儿童
2017,黄杆菌肺炎,婴儿感染，尤其是早产儿，成人病例则常见于年老体弱的住院病人，或患急慢性疾病者
2018,曲霉球,所有人群
2019,免疫缺陷性肺炎,儿童期发病
2020,急性侵袭型肺曲霉病,中老年
2021,息贲,所有人群
2022,锡尘肺,所有人群
2023,老年人阳性杆菌肺炎,中老年
2024,肺络张,所有人群
2025,肺动脉发育不全,儿童
2026,肺青霉病,滥用抗生素或激素者
2027,小儿肺脓肿,婴幼儿
2028,胸部丝虫病,所有人群
2029,军刀综合征,多见于10～20岁之间
2030,热带性肺嗜酸粒细胞浸润症,所有人群
2031,老年人心源性休克,老年人
2032,小儿扩张型心肌病,婴幼儿
2033,小儿肥厚型心肌病,婴幼儿
2034,小儿大动脉转位,儿童
2035,慢性自律性房性心动过速,儿童、少年或青年
2036,小儿感染性心内膜炎,婴幼儿
2037,小儿室性心动过速,儿童
2038,莱姆心脏炎,所有人群
2039,左心室双出口,所有人群
2040,心室肌致密化不全,所有人群
2041,小儿预激综合征,儿童
2042,老年人预激综合征,老年人
2043,房室交接区逸搏和逸搏心律,所有人群
2044,右心室双出口,所有人群
2045,老年人心室扑动与颤动,所有人群
2046,心内膜弹性纤维增生症,新生儿
2047,左心室恶性施万瘤,男性多于女性，以6～30岁多见
2048,心脏转移性恶性黑色素瘤,所有人群
2049,小儿心房颤动,婴幼儿
2050,老年人主动脉瘤,老年人男性
2051,小儿洋地黄中毒,儿童人群
2052,心脏穿透伤,所有人群
2053,双分支阻滞,所有人群
2054,老年人心脏淀粉样变性,所有人群
2055,束支折返性室性心动过速,所有人群
2056,心肌梗死后心包炎,所有人群
2057,左束支中隔支传导阻滞,所有人群
2058,非细菌性血栓性心内膜炎,所有人群
2059,小儿单纯肺动脉口狭窄,婴幼儿
2060,心室静止,所有人群
2061,完全性大动脉错位,所有人群
2062,小儿病态窦房结综合征,婴幼儿
2063,老年人乳头肌功能不全和断裂,老年人
2064,妊娠合并心房间隔缺损,孕产妇
2065,完全性肺静脉异位回流,所有人群
2066,心脏转移瘤,发病年龄为2.5～58岁
2067,妊娠合并动脉导管未闭,孕妇可
2068,小儿室间隔完整型肺动脉闭锁,儿童
2069,小儿致心律失常性右室心肌病,儿童
2070,妊娠合并心室间隔缺损,妊娠妇女
2071,原发性心脏横纹肌肉瘤,30-40岁人群
2072,小儿自律性房性心动过速,婴幼儿
2073,小儿特发性室性心动过速,婴幼儿
2074,小儿完全性肺静脉异位连接,婴幼儿
2075,小儿心房扑动,婴幼儿
2076,黏多糖贮积症Ⅴ型,儿童
2077,小儿部分性肺静脉异位连接,小儿
2078,小儿多源性房性心动过速,婴幼儿
2079,小儿尖端扭转型室性心动过速,婴幼儿
2080,老年人黏液性瓣膜病,75岁以上
2081,小儿右室双出口,小儿
2082,小儿克山病,一般以农民子女及生育期妇女多见
2083,心脏钝性闭合伤,所有人群
2084,小儿阵发性室性心动过速,婴幼儿
2085,小儿期前收缩,婴幼儿
2086,小儿限制型心肌病,婴幼儿
2087,肝癌,中老年男性
2088,酒精肝,多在50岁左右出现，80%有5～10年较大量的饮酒史的男性
2089,肝炎,所有人群
2090,肝纤维化,中老年人
2091,肝血管瘤,成年人
2092,慢性肝炎,无特殊发病群体
2093,丙肝,所有人群
2094,肝损伤,所有人群
2095,肝胆管结石,中老年人
2096,病毒性肝炎,无特殊发病群体
2097,甲肝,所有人群
2098,慢性乙肝,所有人群
2099,肝脓肿,肝病患者
2100,肝硬化男性性功能减弱综合征,所有人群
2101,肝脏肿瘤,中年男性
2102,肝吸虫病,无特殊发病群体
2103,戊肝,所有人群
2104,原发性胆汁性肝硬化,无特发人群
2105,肝火眩晕,见于高血压等病症。
2106,肝炎后肝硬化,乙肝患者于中老年多见
2107,妊娠期内胆汁淤积症,妊娠中、晚期多见
2108,急性黄疸型肝炎,所有人群
2109,药物性肝病,所有人群
2110,阿米巴痢疾,男多于女，成年多于儿童
2111,肝血虚证,所有人群
2112,转移性肝癌,原发癌症患者
2113,胆汁性肝硬化,多见于中年妇女
2114,急性乙肝,中年多发
2115,新生儿肝炎综合征,新生儿
2116,淤胆型肝炎,所有人群
2117,肝脏类癌,原肝脏疾病继发
2118,肝结核,所有人群
2119,新生儿肝炎,新生儿
2120,老年人脂肪肝,老年人
2121,肝腺瘤,育龄妇女，发病年龄大多为21～48岁
2122,肝热病,所有人群
2123,肝脏局灶性结节性增生,所有人群
2124,Alagille综合征,男女均可发病
2125,老年人原发性肝癌,发生任何年龄，以40～49岁最多，男女之比为2.5∶1。老年人为低发生率人群，最多发生在60多岁，平均55～62岁。
2126,丁肝,HBV感染者
2127,肝血管肉瘤,所有人群
2128,老年人肝硬化,老年人群
2129,肝母细胞瘤,儿童多见
2130,新生儿先天性胆道闭锁,新生儿
2131,阿米巴肝脓肿,所有人群
2132,细菌性肝脓肿,男性
2133,非酒精性脂肪肝病,所有人群
2134,肝炎后综合征,所有人群
2135,顿呛,儿童人群
2136,气管先天性疾病,所有人群
